1000;3677.7192069;7088.99352;23.8669581;114241240941
2000;3416.8537795;14606.6680464;47.569329;184697646437
3000;3454.0872362;21506.9191727;71.2731531;253851077226
4000;3429.4497871;28465.7865037;95.0200738;323236955687
5000;3441.7628979;35582.9520096;118.7237501;394529575554
6000;3436.6327521;42713.516856;142.4254884;465853023811
7000;3394.612701;49932.029843;166.1749467;537598470756
8000;3414.1887963;57068.0457505;189.8783613;609284262509
9000;3579.4527276;68519.9366714;213.5843291;728808494909
10000;3404.2406415;73179.7631642;237.3300103;770282655080
